tmdb_id,title,title_vi,release_date,runtime,vote_average,genres,background_image,poster,difficulty_level,is_vip,overview
1084242,"Zootopia 2","Phi Vụ Động Trời 2",2025-11-26,107,7.722,"Phim Hoạt Hình, Phim Gia Đình, Phim Hài, Phim Phiêu Lưu, Phim Bí Ẩn","https://image.tmdb.org/t/p/original/5h2EsPKNDdB3MAtOk9MB9Ycg9Rz.jpg","https://image.tmdb.org/t/p/original/5wXpOF9WPUKliIzNBdAqwAStLHU.jpg",beginner,false,""
533533,"TRON: Ares","Trò Chơi Ảo Giác: Ares",2025-10-08,119,6.463,"Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu, Phim Hành Động","https://image.tmdb.org/t/p/original/6bzabqH399ioM3nZScwZtzGaHIy.jpg","https://image.tmdb.org/t/p/original/lj7imLGAzI3zKvbJtPH01aYW9lU.jpg",beginner,false,"Một chương trình trí tuệ nhân tạo siêu việt mang tên Ares được gửi từ thế giới số vào thế giới thực trong một nhiệm vụ đầy nguy hiểm — đánh dấu lần đầu tiên nhân loại tiếp xúc trực tiếp với một thực thể A.I. sống động."
1180831,"Troll 2","Troll: Quỷ núi khổng lồ 2",2025-11-30,102,6.9,"Phim Hành Động, Phim Giả Tượng, Phim Gây Cấn","https://image.tmdb.org/t/p/original/lZYMXx74pWmbj5Q5jp1QaMvmuuR.jpg","https://image.tmdb.org/t/p/original/plyEn5uDNXXDYihF8Z7YOe2PVKE.jpg",beginner,false,"Khi con quỷ núi nguy hiểm mới tàn phá quê nhà của họ, Nora, Andreas và Đại úy Kris dấn thân vào nhiệm vụ nguy hiểm nhất của họ từ trước đến nay."
1419406,"捕风追影","Bổ Phong Truy Ảnh",2025-08-16,142,6.39,"Phim Hành Động, Phim Hình Sự, Phim Gây Cấn","https://image.tmdb.org/t/p/original/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg","https://image.tmdb.org/t/p/original/5LGUvRBXoXHsMZsZrCGBOVmwOVd.jpg",beginner,false,"Wong Tak-Chung, một cựu chuyên gia giám sát được biết đến với khả năng phân tích dữ liệu và truy vết bậc thầy, bị cảnh sát Ma Cao mời trở lại hợp tác điều tra sau khi xuất hiện hàng loạt vụ cướp quy mô lớn do một tổ chức tội phạm công nghệ cao thực hiện."
1083637,"ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧","ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧",2025-10-01,165,7.361,"Phim Hành Động, Phim Chính Kịch, Phim Giả Tượng","https://image.tmdb.org/t/p/original/1hDUJFAYkLJUCoiXzDi2cLmFh4m.jpg","https://image.tmdb.org/t/p/original/ehQPboTPaIMkMUOoNOh8e7pZ5Rp.jpg",beginner,false,""
949709,"危机航线","Khủng Bố Trên Không",2024-09-29,115,6.04,"Phim Hành Động, Phim Hình Sự","https://image.tmdb.org/t/p/original/8lqfrOBQ2EcY7znD3LxTYcvlh25.jpg","https://image.tmdb.org/t/p/original/b8xNJ39aOtEk3I7MFt8XJuN2bGS.jpg",beginner,false,"Khủng Bố Trên Không (High Forces) bộ phim là câu chuyện về một vụ cướp máy bay và đòi tiền chuộc 3,5 tỷ nhân dân tệ với tính mạng hành khách bị đe dọa. Câu chuyện nghẹt thở trên chuyến bay quốc tế đầu tiên của chiếc A380 siêu sang trọng, khi máy bay bị một nhóm khủng bố do tên trùm Mike cầm đầu cướp."
1246049,"Dracula","Dracula: Bản Tình Ca Bất Diệt",2025-07-30,130,7.078,"Phim Kinh Dị, Phim Giả Tượng, Phim Lãng Mạn","https://image.tmdb.org/t/p/original/otSXrUWOTX7tTigLBMFKOV8n47r.jpg","https://image.tmdb.org/t/p/original/vevuZVvb72VrbDzHiz4D8Z8XuGF.jpg",beginner,false,"Một hoàng tử tuyệt vọng biến thành Dracula và lang thang bất tận qua thời gian, sống chỉ vì lời hứa tìm lại tình yêu của đời mình."
1033462,"749局","Cục 749",2024-10-01,123,6,"Phim Hành Động, Phim Phiêu Lưu, Phim Khoa Học Viễn Tưởng","https://image.tmdb.org/t/p/original/lf8IZ86ajGpgbuyHCZrXUeAMmvy.jpg","https://image.tmdb.org/t/p/original/xW640PVBXLlzhrkQnAcvWNsehIO.jpg",beginner,false,"Một chàng trai trẻ bị tổn thương với những bất thường về thể chất buộc phải gia nhập một văn phòng bí ẩn để đối mặt với thảm họa lan rộng khắp trái đất do một sinh vật vô danh gây ra. Anh dấn thân vào một cuộc phiêu lưu khám phá những bí ẩn về cuộc đời mình."
1448560,"Wildcat","Wildcat",2025-11-19,99,6.3,"Phim Hành Động, Phim Gây Cấn, Phim Hình Sự","https://image.tmdb.org/t/p/original/pAyImoslSnpMgjRwhaS5ZEdl8UI.jpg","https://image.tmdb.org/t/p/original/h893ImjM6Fsv5DFhKJdlZFZIJno.jpg",beginner,false,""
1309012,"Altered","Altered",2025-09-18,85,6.617,"Phim Khoa Học Viễn Tưởng, Phim Hành Động","https://image.tmdb.org/t/p/original/q9bvjUkpKltPE0S9oxci2pmD1Zx.jpg","https://image.tmdb.org/t/p/original/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg",beginner,false,"Trong một thế giới nơi công nghệ chỉnh sửa gene tạo ra hai tầng lớp — người được “nâng cấp” và kẻ bị bỏ lại — Leon và cô bé Chloe thuộc nhóm thiểu số yếu thế. Khi bị vu oan và dồn vào đường cùng, họ đứng lên chống lại hệ thống phân biệt di truyền."
1242898,"Predator: Badlands","Quái Thú Vô Hình: Vùng Đất Chết Chóc",2025-11-05,107,7.389,"Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu","https://image.tmdb.org/t/p/original/ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg","https://image.tmdb.org/t/p/original/6aPy2tMgQLVz2IcifrL1Z2Q9u1t.jpg",beginner,false,"Trong tương lai, tại một hành tinh hẻo lánh, một Predator non nớt - kẻ bị chính tộc của mình ruồng bỏ - tìm thấy một đồng minh không ngờ tới là Thia và bắt đầu hành trình sinh tử nhằm truy tìm kẻ thù tối thượng. Bộ phim do Dan Trachtenberg - đạo diễn của Prey chỉ đạo và nằm trong chuỗi thương hiệu Quái Thú Vô Hình Predator."
1469354,"Border Hunters","Border Hunters",2025-10-20,82,8.571,"Phim Hành Động, Phim Gây Cấn","https://image.tmdb.org/t/p/original/tRdorrIjlybrGsebXOzgF7vRyYy.jpg","https://image.tmdb.org/t/p/original/6TNFZnJ5CU0uFQxGaO9dbqriiI7.jpg",beginner,false,""
1196573,"She Rides Shotgun","Ngồi Bên Nòng Súng",2025-07-31,120,7.117,"Phim Hành Động, Phim Gây Cấn, Phim Hình Sự","https://image.tmdb.org/t/p/original/ytCi1wg6YHpYcFRWCO2jpzN31Kf.jpg","https://image.tmdb.org/t/p/original/nvqW8mOm818QDio3GKKmPLK8kXj.jpg",beginner,false,"Vừa ra tù và bị những kẻ thù dai dẳng truy sát, Nate giờ đây phải bảo vệ cô con gái 11 tuổi xa cách của mình, Polly, bằng mọi giá. Với nguồn lực eo hẹp và không có ai để tin tưởng, Nate và Polly đã tạo nên một mối liên kết giữa họ trong chiến trận khi anh chỉ cho Polly cách chiến đấu và sinh tồn—và cô dạy anh ý nghĩa thực sự của tình yêu vô điều kiện."
1363123,"The Family Plan 2","Kế Hoạch Bảo Vệ Gia Đình 2 - The Family Plan 2",2025-11-11,106,6.672,"Phim Hành Động, Phim Hài","https://image.tmdb.org/t/p/original/7nAVXGHHtaNcdsqvDXmY6R9N0fG.jpg","https://image.tmdb.org/t/p/original/fMQI7VEpvlPOoSetYd3ctLEY54G.jpg",beginner,false,"Giờ đây, khi những tháng ngày làm sát thủ đã lùi vào quá khứ, Dan chỉ muốn có khoảng thời gian ý nghĩa bên các con vào dịp Giáng sinh. Nhưng khi biết con gái mình có dự định riêng, anh liền đặt một chuyến đi gia đình đến London — vô tình đặt cả nhà vào tầm ngắm của một kẻ thù bất ngờ."
